,Octave,MIDI Note,Note,time,value
198851,5,67,G,1553,0.10303752782634529
198852,5,68,G#,1553,0.15483694380802668
198853,5,69,A,1553,0.12390559425278103
198860,6,76,E,1553,0.13760471902605106
198861,6,77,F,1553,0.12574396305387092
200134,5,70,A#,1563,0.10462191026987842
200248,4,56,G#,1564,0.12481874129616215
200249,4,57,A,1564,0.14532430916988412
200250,4,58,A#,1564,0.10478964264379312
200253,5,61,C#,1564,0.10194916233924244
200255,5,63,D#,1564,0.1001470077915559
200259,5,67,G,1564,0.1059268505918234
200262,5,70,A#,1564,0.1418299054159572
200263,5,71,B,1564,0.15412525787407766
200376,4,56,G#,1565,0.12224038721523434
200377,4,57,A,1565,0.1076218017721576
200504,4,56,G#,1566,0.11360044826719429
200505,4,57,A,1566,0.13779721132212597
200506,4,58,A#,1566,0.10682339279219981
200519,5,71,B,1566,0.1251420476882384
200632,4,56,G#,1567,0.138471371066685
200633,4,57,A,1567,0.14240224948537508
200760,4,56,G#,1568,0.12338004411293706
200761,4,57,A,1568,0.12190487023101873
200770,5,66,F#,1568,0.1090252588823872
200771,5,67,G,1568,0.11202937548242116
200888,4,56,G#,1569,0.10731106677449313
200889,4,57,A,1569,0.13340605912818465
201664,5,64,E,1575,0.10652046034182856
201924,5,68,G#,1577,0.10258619061676398
201925,5,69,A,1577,0.13442927915465044
202042,4,58,A#,1578,0.14344596200411705
202043,4,59,B,1578,0.13867774859201373
202170,4,58,A#,1579,0.1690735602236646
202171,4,59,B,1579,0.1587467497717555
202298,4,58,A#,1580,0.1855841162383425
202299,4,59,B,1580,0.12908236379922014
202426,4,58,A#,1581,0.22189348358732683
202427,4,59,B,1581,0.1842079847852832
202429,5,61,C#,1581,0.11584074323523233
202430,5,62,D,1581,0.17298421475095513
202431,5,63,D#,1581,0.12362083029383189
202434,5,66,F#,1581,0.11954122628836043
202435,5,67,G,1581,0.10062264063099051
202438,5,70,A#,1581,0.12443469822792827
202439,5,71,B,1581,0.1323468950874056
202554,4,58,A#,1582,0.22275664055887176
202555,4,59,B,1582,0.2505827238510575
202556,5,60,C,1582,0.12769443758192142
202557,5,61,C#,1582,0.12756634112908408
202558,5,62,D,1582,0.17915767058319088
202559,5,63,D#,1582,0.1455147994618349
202562,5,66,F#,1582,0.1066619394263783
202566,5,70,A#,1582,0.13134529703953543
202567,5,71,B,1582,0.13660075136950825
202572,6,76,E,1582,0.10763626513489738
202573,6,77,F,1582,0.12879317152168707
202682,4,58,A#,1583,0.2183880196889916
202683,4,59,B,1583,0.20830305042665223
202690,5,66,F#,1583,0.15105650907699136
202691,5,67,G,1583,0.1810412202670503
202692,5,68,G#,1583,0.12372908595998816
202694,5,70,A#,1583,0.2883044007906911
202695,5,71,B,1583,0.2810441302958942
202696,6,72,C,1583,0.13947043860778113
202697,6,73,C#,1583,0.12994431551180163
202698,6,74,D,1583,0.12019556945711242
202699,6,75,D#,1583,0.13591300078195392
202701,6,77,F,1583,0.1456153127661543
202702,6,78,F#,1583,0.1029830056046868
202809,4,57,A,1584,0.14087275826275394
202810,4,58,A#,1584,0.15219851598818743
202820,5,68,G#,1584,0.11085149089620233
202821,5,69,A,1584,0.12735550648575084
202822,5,70,A#,1584,0.15666061216354207
202823,5,71,B,1584,0.10756113951637283
202936,4,56,G#,1585,0.1072607815067663
202937,4,57,A,1585,0.10794822426941185
203064,4,56,G#,1586,0.11282531245624475
203192,4,56,G#,1587,0.12137051502316556
203193,4,57,A,1587,0.1042426743011755
203586,5,66,F#,1590,0.14351526447023422
203587,5,67,G,1590,0.15839220456629854
203707,4,59,B,1591,0.10049912906910383
203714,5,66,F#,1591,0.11632862390958507
203718,5,70,A#,1591,0.12515554480655788
203719,5,71,B,1591,0.10054742534565837
203835,4,59,B,1592,0.1057005039242565
203844,5,68,G#,1592,0.13706066404976736
203845,5,69,A,1592,0.1697963406906128
203963,4,59,B,1593,0.1319964209006658
203972,5,68,G#,1593,0.11369306431602225
203976,6,72,C,1593,0.10245582494677428
204088,4,56,G#,1594,0.10320062757442967
204091,4,59,B,1594,0.14916005378738836
204092,5,60,C,1594,0.1558656021650791
204216,4,56,G#,1595,0.11381359426545087
204217,4,57,A,1595,0.10949909541395716
204219,4,59,B,1595,0.17930525433690658
204220,5,60,C,1595,0.1422681411656653
204226,5,66,F#,1595,0.11979356052135785
204345,4,57,A,1596,0.1001546157704467
204347,4,59,B,1596,0.16655271023654783
204348,5,60,C,1596,0.15694691529074983
204354,5,66,F#,1596,0.10824302161207175
204475,4,59,B,1597,0.1315617654914003
204487,5,71,B,1597,0.11043428094890922
204492,6,76,E,1597,0.17466804823880538
204493,6,77,F,1597,0.18987321053685266
204494,6,78,F#,1597,0.10313388677903332
204603,4,59,B,1598,0.12100352818622934
204604,5,60,C,1598,0.11544894419926605
204613,5,69,A,1598,0.18715875079283123
204614,5,70,A#,1598,0.21404417264058942
204615,5,71,B,1598,0.209343953371373
204616,6,72,C,1598,0.1559184379944994
204619,6,75,D#,1598,0.10846681876982657
204620,6,76,E,1598,0.16229139782597302
204731,4,59,B,1599,0.12322559854753705
204732,5,60,C,1599,0.12157978344907504
204740,5,68,G#,1599,0.10841328513100512
204741,5,69,A,1599,0.13939392419206512
204742,5,70,A#,1599,0.14462409175513533
204743,5,71,B,1599,0.12200800434339223
205368,4,56,G#,1604,0.11166719068889867
205603,2,35,B,1606,0.10432212888302933
205604,3,36,C,1606,0.10208461358966989
205624,4,56,G#,1606,0.11452194568061345
205625,4,57,A,1606,0.10206874735269561
205627,4,59,B,1606,0.12550453384818466
205731,2,35,B,1607,0.10732536708449034
205732,3,36,C,1607,0.10413472776285763
205752,4,56,G#,1607,0.12448424854302745
205753,4,57,A,1607,0.1528231524853218
205756,5,60,C,1607,0.10235415547635426
205764,5,68,G#,1607,0.10738136593985817
205765,5,69,A,1607,0.1294959078652955
205769,6,73,C#,1607,0.1043221138712699
205770,6,74,D,1607,0.11827687100345849
205859,2,35,B,1608,0.10751704231772993
205860,3,36,C,1608,0.10285039008054855
205880,4,56,G#,1608,0.14075004313407377
205881,4,57,A,1608,0.11138614418159724
205883,4,59,B,1608,0.11120610307077532
205884,5,60,C,1608,0.1409220720484219
205885,5,61,C#,1608,0.11080805063087526
205987,2,35,B,1609,0.10500934087638154
206007,4,55,G,1609,0.10024513769711389
206008,4,56,G#,1609,0.16173586314274344
206009,4,57,A,1609,0.11396029657934366
206011,4,59,B,1609,0.1365997497150059
206115,2,35,B,1610,0.10029459364298911
206136,4,56,G#,1610,0.13691377056102838
206137,4,57,A,1610,0.13907173840879855
206148,5,68,G#,1610,0.12075823032897869
206264,4,56,G#,1611,0.15610382571521456
206265,4,57,A,1611,0.12339595572705633
206392,4,56,G#,1612,0.14681381531403281
206393,4,57,A,1612,0.13388213957700767
206404,5,68,G#,1612,0.12848193715349196
206413,6,77,F,1612,0.10740186007287539
206521,4,57,A,1613,0.10153704436746755
206532,5,68,G#,1613,0.1340220384460251
206533,5,69,A,1613,0.17263452580572322
206534,5,70,A#,1613,0.10223745043592405
206661,5,69,A,1614,0.11911039317117268
206788,5,68,G#,1615,0.18419137941163613
206789,5,69,A,1615,0.174824549564726
206790,5,70,A#,1615,0.10279862822809673
206914,5,66,F#,1616,0.10337054094907674
206916,5,68,G#,1616,0.14972605702793557
206917,5,69,A,1616,0.139234061467802
206919,5,71,B,1616,0.12929033731468628
207044,5,68,G#,1617,0.10460259236489111
207045,5,69,A,1617,0.11541721245994437
207160,4,56,G#,1618,0.10372607910215224
207172,5,68,G#,1618,0.1176485322702122
207300,5,68,G#,1619,0.15289313276398608
207301,5,69,A,1619,0.13271583509742413
207303,5,71,B,1619,0.13855672745408562
207416,4,56,G#,1620,0.11330989038837105
207423,5,63,D#,1620,0.12120135457946893
207427,5,67,G,1620,0.13253250341139836
207428,5,68,G#,1620,0.20990456714760267
207429,5,69,A,1620,0.17356244489827416
207431,5,71,B,1620,0.10290196733393499
207544,4,56,G#,1621,0.12367461495843646
207545,4,57,A,1621,0.12596586547482863
207551,5,63,D#,1621,0.12456722433651386
207558,5,70,A#,1621,0.13845752743135753
207559,5,71,B,1621,0.20830462178458864
207560,6,72,C,1621,0.1207113090410894
207674,4,58,A#,1622,0.1097138445107693
207675,4,59,B,1622,0.1435029957745398
207678,5,62,D,1622,0.13487902538222096
207686,5,70,A#,1622,0.26046878193465733
207687,5,71,B,1622,0.1628533489427721
207689,6,73,C#,1622,0.10563182199990738
207803,4,59,B,1623,0.1872491102464479
207804,5,60,C,1623,0.17824358082053895
207805,5,61,C#,1623,0.13232794076494744
207806,5,62,D,1623,0.1081820202163603
207814,5,70,A#,1623,0.2832354793238029
207815,5,71,B,1623,0.27485559871278276
207816,6,72,C,1623,0.10786588703687902
207931,4,59,B,1624,0.13368959919901108
207932,5,60,C,1624,0.1273276519480204
207941,5,69,A,1624,0.10451071847006682
207942,5,70,A#,1624,0.2295385689355311
207943,5,71,B,1624,0.14381745978415145
208059,4,59,B,1625,0.12922406545101403
208060,5,60,C,1625,0.12071449991299175
208062,5,62,D,1625,0.10191690141483667
208070,5,70,A#,1625,0.19370380354420882
208071,5,71,B,1625,0.16903147864074786
208187,4,59,B,1626,0.17121249014559778
208188,5,60,C,1626,0.1351030581461457
208190,5,62,D,1626,0.10679738369074755
208198,5,70,A#,1626,0.14236079686741232
208199,5,71,B,1626,0.118628409459424
208310,4,54,F#,1627,0.10783890478920584
208315,4,59,B,1627,0.19598030799536673
208316,5,60,C,1627,0.13995996459887786
208322,5,66,F#,1627,0.10797127299088441
208326,5,70,A#,1627,0.1283362385819112
208332,6,76,E,1627,0.1071652589267643
208333,6,77,F,1627,0.14534886798194077
208334,6,78,F#,1627,0.14283139065629125
208336,6,80,G#,1627,0.13350738017017214
208337,6,81,A,1627,0.13480849924387617
208438,4,54,F#,1628,0.12040692729513713
208443,4,59,B,1628,0.19124203383212982
208444,5,60,C,1628,0.18930613260732634
208450,5,66,F#,1628,0.14649710248308068
208451,5,67,G,1628,0.11557554884632469
208454,5,70,A#,1628,0.13178157448592606
208455,5,71,B,1628,0.11189903943426259
208566,4,54,F#,1629,0.11680839115290817
208571,4,59,B,1629,0.1468634375959394
208572,5,60,C,1629,0.12964716780588115
208579,5,67,G,1629,0.10813257896067512
208580,5,68,G#,1629,0.11125716217325737
208581,5,69,A,1629,0.1393946848718315
208585,6,73,C#,1629,0.10499444062748028
208694,4,54,F#,1630,0.10303289940937803
208705,5,65,F,1630,0.10102939933306242
208706,5,66,F#,1630,0.1485785777948324
208707,5,67,G,1630,0.10679446993848003
208709,5,69,A,1630,0.10290945509482652
209091,5,67,G,1633,0.11740504418471606
209347,5,67,G,1635,0.12707248984100886
209471,5,63,D#,1636,0.10818284886395721
209472,5,64,E,1636,0.14168887979999018
209473,5,65,F,1636,0.12516279728925658
209476,5,68,G#,1636,0.12025920812893412
209477,5,69,A,1636,0.11612829067009382
210119,5,71,B,1641,0.11068891879566868
210252,6,76,E,1642,0.14407282916442715
210253,6,77,F,1642,0.15055753822284243
210363,4,59,B,1643,0.11866048684365527
210364,5,60,C,1643,0.10517639644592157
210374,5,70,A#,1643,0.1656235250790443
210375,5,71,B,1643,0.14264085516248223
210498,5,66,F#,1644,0.10001591300235683
210502,5,70,A#,1644,0.14171239518078696
210503,5,71,B,1644,0.15750725408675856
210629,5,69,A,1645,0.1350166145359335
210630,5,70,A#,1645,0.19512702062213463
210631,5,71,B,1645,0.10610508387502514
210757,5,69,A,1646,0.14064495447821268
210758,5,70,A#,1646,0.21060402505780443
210759,5,71,B,1646,0.18985169180880412
210884,5,68,G#,1647,0.15745539546897053
210885,5,69,A,1647,0.11215313388696985
210886,5,70,A#,1647,0.2044355488327223
210887,5,71,B,1647,0.1429959316309493
211012,5,68,G#,1648,0.14884964307076423
211013,5,69,A,1648,0.10676134548330521
211014,5,70,A#,1648,0.10459003219051959
211015,5,71,B,1648,0.12599966649080818
211017,6,73,C#,1648,0.12102140693590999
211018,6,74,D,1648,0.16786273278640212
211019,6,75,D#,1648,0.13870046708594427
211020,6,76,E,1648,0.10245710757016269
211140,5,68,G#,1649,0.10458071520099725
211145,6,73,C#,1649,0.12528286751806073
211149,6,77,F,1649,0.1283140280728528
211263,5,63,D#,1650,0.10029199169703047
211268,5,68,G#,1650,0.1273015643625726
211273,6,73,C#,1650,0.17777068198747695
211274,6,74,D,1650,0.17077591001967637
211276,6,76,E,1650,0.10623130040245932
211392,5,64,E,1651,0.1029051783762745
211396,5,68,G#,1651,0.2201786831318064
211397,5,69,A,1651,0.23584529585448116
211401,6,73,C#,1651,0.1263505398637324
211402,6,74,D,1651,0.10589091669901193
211523,5,67,G,1652,0.10421202363860219
211524,5,68,G#,1652,0.31310626425596133
211525,5,69,A,1652,0.28099349908097687
211526,5,70,A#,1652,0.11810609824691147
211529,6,73,C#,1652,0.12048286291526922
211530,6,74,D,1652,0.10850460200402709
211651,5,67,G,1653,0.10309053949640813
211652,5,68,G#,1653,0.27307240247816367
211653,5,69,A,1653,0.2023444635252483
211780,5,68,G#,1654,0.13691611391158764
211781,5,69,A,1654,0.13162589022569648
211908,5,68,G#,1655,0.1304174210659883
211909,5,69,A,1655,0.10802965890391115
212296,6,72,C,1658,0.13430683425883808
212297,6,73,C#,1658,0.11999407558861967
212418,5,66,F#,1659,0.15411167070000586
212421,5,69,A,1659,0.1105885295880996
212422,5,70,A#,1659,0.11313141477425764
212429,6,77,F,1659,0.10317842598742272
212546,5,66,F#,1660,0.23887058021900057
212547,5,67,G,1660,0.22104414102553963
212674,5,66,F#,1661,0.18405829219131215
212675,5,67,G,1661,0.15737422990386732
212802,5,66,F#,1662,0.1538699846237285
212803,5,67,G,1662,0.1515228470715814
212923,4,59,B,1663,0.10729286748213283
212930,5,66,F#,1663,0.20295412381451436
212931,5,67,G,1663,0.16818960598643115
213052,5,60,C,1664,0.12105926533408909
213055,5,63,D#,1664,0.16280359256256943
213056,5,64,E,1664,0.14275955591743641
213057,5,65,F,1664,0.1399786782925387
213058,5,66,F#,1664,0.3465005423825464
213059,5,67,G,1664,0.2933592090922479
213062,5,70,A#,1664,0.12779379144546835
213179,4,59,B,1665,0.13956401311770208
213180,5,60,C,1665,0.1280763953701636
213182,5,62,D,1665,0.11853079130296935
213183,5,63,D#,1665,0.250650785643656
213184,5,64,E,1665,0.182829379830847
213185,5,65,F,1665,0.15282930727844563
213186,5,66,F#,1665,0.4507470291175239
213187,5,67,G,1665,0.4565766349462062
213188,5,68,G#,1665,0.18507811601819238
213189,5,69,A,1665,0.1214836289666101
213190,5,70,A#,1665,0.10886667844672795
213197,6,77,F,1665,0.1662921038932211
213198,6,78,F#,1665,0.14840208055159643
213307,4,59,B,1666,0.1635413918394712
213308,5,60,C,1666,0.13831410079002007
213311,5,63,D#,1666,0.14650419621228591
213312,5,64,E,1666,0.18643810951513015
213313,5,65,F,1666,0.19671325478750157
213314,5,66,F#,1666,0.3661220881041388
213315,5,67,G,1666,0.33267169882264125
213317,5,69,A,1666,0.13591692731044025
213325,6,77,F,1666,0.124140112475188
213326,6,78,F#,1666,0.12795225604187085
213434,4,58,A#,1667,0.11654294411814896
213440,5,64,E,1667,0.12079282720183819
213442,5,66,F#,1667,0.11915101980263702
213443,5,67,G,1667,0.18135776878690907
213449,6,73,C#,1667,0.11665694171718248
213450,6,74,D,1667,0.1213021310717713
213453,6,77,F,1667,0.1459858524313273
213454,6,78,F#,1667,0.15156348624949822
213455,6,79,G,1667,0.10200446520252104
213577,6,73,C#,1668,0.10042412334075965
213581,6,77,F,1668,0.10950828402210168
213705,6,73,C#,1669,0.12870969227352777
213706,6,74,D,1669,0.11751862056180717
213709,6,77,F,1669,0.12876950410784083
213710,6,78,F#,1669,0.12178427500696964
213823,5,63,D#,1670,0.11049024544636851
213837,6,77,F,1670,0.16498197221750743
213838,6,78,F#,1670,0.14320222587467743
213950,5,62,D,1671,0.11285312717607376
213951,5,63,D#,1671,0.17432398363437013
213952,5,64,E,1671,0.1278271125395665
213961,6,73,C#,1671,0.10452600305958201
213962,6,74,D,1671,0.1362209885099139
213963,6,75,D#,1671,0.12495199491689311
213964,6,76,E,1671,0.16437511444976224
213965,6,77,F,1671,0.17066925990535162
214079,5,63,D#,1672,0.10860273750381506
214088,6,72,C,1672,0.13105146993901434
214089,6,73,C#,1672,0.1310950768493853
214090,6,74,D,1672,0.1308964242377733
214091,6,75,D#,1672,0.1604591105078011
214092,6,76,E,1672,0.11980182322951362
214337,5,65,F,1674,0.10313870279976228
214341,5,69,A,1674,0.11156266121026648
214346,6,74,D,1674,0.10574366988344122
214347,6,75,D#,1674,0.10688315634302087
214350,6,78,F#,1674,0.10529357572491027
214454,4,54,F#,1675,0.10094844829863729
214469,5,69,A,1675,0.10582364361607736
214597,5,69,A,1676,0.10813520136405194
214724,5,68,G#,1677,0.1152651203054636
214725,5,69,A,1677,0.1288006772300976
214726,5,70,A#,1677,0.10300342614111016
214840,4,56,G#,1678,0.12134655465359392
214841,4,57,A,1678,0.10237258726304517
214850,5,66,F#,1678,0.11348283852222606
214852,5,68,G#,1678,0.15771180828141965
214853,5,69,A,1678,0.19299691556923143
214854,5,70,A#,1678,0.10573747816557678
214855,5,71,B,1678,0.14108518763895966
214947,2,35,B,1679,0.10597867099184406
214968,4,56,G#,1679,0.15218369253768504
214969,4,57,A,1679,0.1454977715345703
214970,4,58,A#,1679,0.10747326655890264
214975,5,63,D#,1679,0.11040801526378644
214979,5,67,G,1679,0.16009156287289908
214980,5,68,G#,1679,0.2903469769209415
214981,5,69,A,1679,0.23121044435356855
214987,6,75,D#,1679,0.1253751141311704
214988,6,76,E,1679,0.1066420638429893
214990,6,78,F#,1679,0.10371280322299069
215075,2,35,B,1680,0.11283113385767662
215096,4,56,G#,1680,0.14498108701052287
215097,4,57,A,1680,0.12725321262335423
215103,5,63,D#,1680,0.21134131865296357
215104,5,64,E,1680,0.23337419052098352
